Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,2176.6000699999995
FDW14,OUT017,1516.25963
NCN55,OUT010,573.9196
FDQ58,OUT017,2337.6238000000003
FDY38,OUT027,4211.81751
FDH56,OUT046,2365.38766
FDL48,OUT018,1879.2205000000001
FDC48,OUT027,2437.95986
FDN33,OUT045,1738.4037999999996
FDA36,OUT017,2022.6671099999999
FDT44,OUT017,2024.032
FDQ56,OUT045,1630.3777500000003
NCC54,OUT019,421.98404
FDU11,OUT049,2487.1624800000004
DRL59,OUT013,1475.34622
FDM24,OUT049,2236.78839
FDI57,OUT045,2411.2612799999997
DRC12,OUT018,1997.9326399999998
NCM42,OUT027,2991.53927
FDA46,OUT010,382.50210000000004
FDA31,OUT013,2722.72252
NCJ31,OUT035,2415.62227
FDG52,OUT046,1336.8931099999998
NCL19,OUT019,357.36814999999996
FDS10,OUT035,3044.33721
FDX22,OUT010,351.64227
NCF19,OUT035,1713.03682
NCE06,OUT046,2406.4675199999997
DRC27,OUT046,2860.6429900000003
FDE21,OUT035,2104.19432
NCR42,OUT019,284.82924
FDX51,OUT018,1998.9979200000002
NCR06,OUT018,1484.93374
FDU31,OUT027,5456.663769999999
FDU59,OUT017,2499.0803
FDR03,OUT027,4357.92732
FDS49,OUT027,3446.5802799999997
FDD48,OUT010,218.68201000000005
NCF18,OUT017,3242.4127099999996
NCD43,OUT027,2955.65265
NCD54,OUT018,1812.9068199999997
FDY19,OUT010,192.64923000000002
NCY54,OUT017,2381.59989
NCL19,OUT018,1960.5812600000002
FDP23,OUT010,506.6405099999999
FDC26,OUT013,2673.3534499999996
FDR14,OUT010,289.95590000000004
NCS41,OUT035,3013.4108
FDF41,OUT035,2566.45926
FDU34,OUT046,2586.20023
DRH11,OUT046,1935.6137600000002
FDM03,OUT013,2206.7941
FDS31,OUT017,2700.08532
FDJ20,OUT017,2195.94156
FDV44,OUT027,4968.89869
FDG02,OUT049,2183.5243900000005
FDA09,OUT013,2497.88186
FDT04,OUT013,1061.2852
FDL58,OUT019,365.39104
FDE52,OUT045,1274.2413299999998
FDW12,OUT035,2100.36597
FDL51,OUT017,2767.1979600000004
NCY42,OUT027,3558.1683599999997
FDR07,OUT017,1747.8581600000002
FDN40,OUT045,2061.08377
FDB35,OUT027,2723.8876699999996
FDA22,OUT017,2682.6413600000005
NCL06,OUT046,3212.35184
FDI35,OUT013,3020.4682799999996
NCW42,OUT045,3188.91568
NCX06,OUT049,3219.34274
FDC37,OUT027,2457.7674100000004
FDZ14,OUT018,2152.46482
DRG49,OUT049,2943.20219
NCG06,OUT045,3071.40198
DRC36,OUT045,1742.0657000000003
FDV21,OUT019,389.35983999999996
FDB53,OUT046,2004.6905100000004
DRP47,OUT019,510.63530999999995
FDA14,OUT013,2179.6627500000004
DRC24,OUT035,2252.9673300000004
FDW21,OUT018,1773.6912000000004
NCH29,OUT046,1797.6267100000005
FDU58,OUT013,2397.3793499999997
FDY27,OUT017,2856.2487100000003
FDV56,OUT035,1972.19947
FDT59,OUT046,3390.3534699999996
FDB23,OUT046,3050.49586
FDR49,OUT045,1247.3762999999997
FDB03,OUT010,427.5767599999999
FDN39,OUT045,2684.7386300000003
FDX02,OUT027,4410.0594599999995
FDQ16,OUT027,2056.62291
FDU35,OUT018,2005.3896
NCT29,OUT013,1619.7582400000001
FDZ27,OUT046,1664.9993500000005
FDN57,OUT017,2205.3293399999993
FDA03,OUT018,2152.46482
FDZ36,OUT045,2994.86827
NCU05,OUT013,1557.3062000000002
FDT39,OUT018,1726.81888
FDK60,OUT017,1691.4649000000002
FDZ25,OUT017,2773.78938
FDG12,OUT046,2001.26164
DRB01,OUT019,409.7999
NCC43,OUT027,6210.116339999999
FDX13,OUT019,444.68781999999993
FDM22,OUT049,1371.7810299999996
FDJ03,OUT027,3805.84596
