Column_Name,Coefficient_Value,Coefficient_Value_ridge
Week No,-39.05004221266694,-36.82712801730141
Month No,190.51387152913674,177.95122039226237
Year,553.3014945519996,512.3127208083719
Mortgage Rate,-588.894964756243,-587.798899458592
Inflation,-94.75832896186192,-99.19308999095351
Housing Price Index,-16.342158001224263,-14.598108087494877
Treasury Yield,-406.5843219177502,-406.12912103915994
Unemployment Rate,4.211317901222632,4.528975983865151
GDP,-5.15700638687515,-5.133666050612216
Business Confidence Index,-40.59569840756796,-40.2581800071978
Consumer Confidence Index,-1.7653990703810598,-2.337846692581948
Initial Unemployment Claim,0.00012269911206885808,0.00012314555643272066
Disposable Income,-0.026901688679469127,-0.02392720032232914
